# Johan A. Schmidt Mar-25-2014
#
# OCS 1^1A' (X-state) PES
#
# Please do not redistribute 
#
# Local X-state PES, see Section C1 of JCP 137:054313 
#
# Please acknowledge us in any publications and cite our papers: 
#  1) Schmidt et al., J. Chem. Phys., 136, 131101, (2012)
#  2) Schmidt et al., J. Chem. Phys., 137, 054313, (2012)
# I would also be grateful if you would send me copy/print of any such 
# publications.
#
#  R/a0    r/a0 gamma/deg E(1^1A')/E_h 
    4.5   1.8   15.0   -510.8013780     1.0
    4.6   1.8   15.0   -510.7933100     1.0
    4.7   1.8   15.0   -510.7850985     1.0
    4.8   1.8   15.0   -510.7769788     1.0
    4.9   1.8   15.0   -510.7691167     1.0
    5.0   1.8   15.0   -510.7616235     1.0
    3.5   1.8   17.5   -510.7256617     1.0
    3.6   1.8   17.5   -510.7641474     1.0
    3.7   1.8   17.5   -510.7903081     1.0
    3.8   1.8   17.5   -510.8069732     1.0
    3.9   1.8   17.5   -510.8163783     1.0
    4.0   1.8   17.5   -510.8203002     1.0
    4.1   1.8   17.5   -510.8201478     1.0
    4.2   1.8   17.5   -510.8170379     1.0
    4.3   1.8   17.5   -510.8118524     1.0
    4.4   1.8   17.5   -510.8052855     1.0
    4.5   1.8   17.5   -510.7978741     1.0
    4.6   1.8   17.5   -510.7900278     1.0
    4.7   1.8   17.5   -510.7820543     1.0
    4.8   1.8   17.5   -510.7741776     1.0
    4.9   1.8   17.5   -510.7665549     1.0
    5.0   1.8   17.5   -510.7592925     1.0
    3.5   1.8   20.0   -510.7268975     1.0
    3.6   1.8   20.0   -510.7633354     1.0
    3.7   1.8   20.0   -510.7880479     1.0
    3.8   1.8   20.0   -510.8037242     1.0
    3.9   1.8   20.0   -510.8124921     1.0
    4.0   1.8   20.0   -510.8160442     1.0
    4.1   1.8   20.0   -510.8157243     1.0
    4.2   1.8   20.0   -510.8125979     1.0
    4.3   1.8   20.0   -510.8075067     1.0
    4.4   1.8   20.0   -510.8011130     1.0
    4.5   1.8   20.0   -510.7939267     1.0
    4.6   1.8   20.0   -510.7863373     1.0
    4.7   1.8   20.0   -510.7786365     1.0
    4.8   1.8   20.0   -510.7710361     1.0
    4.9   1.8   20.0   -510.7636851     1.0
    5.0   1.8   20.0   -510.7566826     1.0
    3.5   1.8   25.0   -510.7279488     1.0
    3.6   1.8   25.0   -510.7601159     1.0
    3.7   1.8   25.0   -510.7818402     1.0
    3.8   1.8   25.0   -510.7955081     1.0
    3.9   1.8   25.0   -510.8030176     1.0
    4.0   1.8   25.0   -510.8058811     1.0
    4.1   1.8   25.0   -510.8053019     1.0
    4.2   1.8   25.0   -510.8022350     1.0
    4.3   1.8   25.0   -510.7974365     1.0
    4.4   1.8   25.0   -510.7914954     1.0
    4.5   1.8   25.0   -510.7848657     1.0
    4.6   1.8   25.0   -510.7778935     1.0
    4.7   1.8   25.0   -510.7708359     1.0
    4.8   1.8   25.0   -510.7638795     1.0
    4.9   1.8   25.0   -510.7571561     1.0
    5.0   1.8   25.0   -510.7507516     1.0
    3.5   1.8   30.0   -510.7262612     1.0
    3.6   1.8   30.0   -510.7542625     1.0
    3.7   1.8   30.0   -510.7731272     1.0
    3.8   1.8   30.0   -510.7849340     1.0
    3.9   1.8   30.0   -510.7913446     1.0
    4.0   1.8   30.0   -510.7936865     1.0
    4.1   1.8   30.0   -510.7930177     1.0
    4.2   1.8   30.0   -510.7901796     1.0
    4.3   1.8   30.0   -510.7858349     1.0
    4.4   1.8   30.0   -510.7804973     1.0
    4.5   1.8   30.0   -510.7745643     1.0
    4.6   1.8   30.0   -510.7683364     1.0
    4.7   1.8   30.0   -510.7620371     1.0
    4.8   1.8   30.0   -510.7558290     1.0
    4.9   1.8   30.0   -510.7498245     1.0
    5.0   1.8   30.0   -510.7440996     1.0
    3.5   1.8   35.0   -510.7211815     1.0
    3.6   1.8   35.0   -510.7454585     1.0
    3.7   1.8   35.0   -510.7618415     1.0
    3.8   1.8   35.0   -510.7721180     1.0
    3.9   1.8   35.0   -510.7777215     1.0
    4.0   1.8   35.0   -510.7797997     1.0
    4.1   1.8   35.0   -510.7792699     1.0
    4.2   1.8   35.0   -510.7768605     1.0
    4.3   1.8   35.0   -510.7731403     1.0
    4.4   1.8   35.0   -510.7685535     1.0
    4.5   1.8   35.0   -510.7634417     1.0
    4.6   1.8   35.0   -510.7580635     1.0
    4.7   1.8   35.0   -510.7526120     1.0
